global_scenario_id,local_scenario_id,source_folder,seed,thrust_angle_deg,mu,a,e,nu,m,I_diag,N,tf,epsilon,rs,n_agents,x0_r,x0_v,x0_phi,x0_omega,xf_r,xf_v,xf_phi,xf_omega
1,1,baseline_20260822_180915,1787418555,1.0,398000000000000.0,7683213.836227221,0.23874366496110322,0.017453292519943295,88.54185068352466,"[34744.92458178159, 59079.34405651258, 90000.82324931017]",46,465.1295207491603,1.4663118683824302e-05,"[[-38.17482803951005, -6.484566659601195, 15.851839664792847], [13.15070304401874, 4.088534628597216, -2.3305354370449494], [-7.215982907598498, -5.7987236543768015, -11.06827447449407], [-5.826867768502307, 2.102749125969741, 5.79919800197011], [-8.659157828144146, -18.038134465205776, -27.16497164958558], [1.8345626526115857, 27.43034910676916, 6.598389925331906]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[15.202031426389112, -156.06915212142607, -338.4509354415852]","[0, 0, 0]","[0.6684324126428219, -0.45444019643164024, 2.7531350685058973]","[0, 0, 0]"
2,2,baseline_20260822_180915,1787418556,1.0,398000000000000.0,8035394.236431905,0.28727567031455936,0.017453292519943295,446.75224610802974,"[299451.7042628111, 492987.5734313504, 682908.320757053]",89,898.8961535669193,2.399721561554072e-06,"[[1.9247586243950585, -18.11507025101714, 23.35639075555805], [-36.68095300752676, 1.0566969726659377, -15.377714112206155], [4.594535849550768, 2.034280348476313, -3.0772480966072377], [-5.715861304555892, -21.454785869007857, -34.360810627028265], [-11.284662399876693, -26.555795355748586, 10.986761979028989], [-3.6195429246529254, 30.060451026789277, -11.088592947680066]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[-404.64051060016754, 71.80645724687665, -69.89391787756706]","[0, 0, 0]","[-0.04712878155098095, 0.7199354897057293, 0.6252970518580652]","[0, 0, 0]"
3,3,baseline_20260822_180915,1787418557,1.0,398000000000000.0,7228928.491850562,0.2119916816700458,0.017453292519943295,394.2136729086764,"[429952.6052235017, 499433.2933925824, 677103.55422365]",81,817.4336918235563,2.9741465287621974e-05,"[[10.999278574060899, -4.070997373014931, 46.32962924349419], [-14.93832739089823, 8.94429141852974, -17.330384380863894], [2.9747924220841893, -2.2133949719855313, 6.746803289512834], [24.03546167441303, -36.40400685167326, 18.957377557031922], [-5.053769205900217, -23.300141341580577, -17.910506813915298], [-13.42653108295253, 7.595827145981492, -12.432512610522743]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[-113.92498577611606, 353.7870848650168, -116.14400674278035]","[0, 0, 0]","[-1.496700813203587, -0.6247686861024506, 1.771203897037357]","[0, 0, 0]"
4,4,baseline_20260822_180915,1787418558,1.0,398000000000000.0,8167789.547663637,0.16059133114575558,0.017453292519943295,167.35293117799296,"[45699.43548968952, 130222.21905860856, 157694.23487925885]",34,342.3244111471365,7.997026965219304e-05,"[[2.7780638434705884, 3.4086674481284134, -43.87651262437536], [-17.442601339828364, -5.964490430728235, 43.469948267797506], [4.6200744491302155, 2.527643652060259, 1.5635642706161972], [15.182792391112347, -14.63104808106706, -9.18815930203226], [26.29637652531637, -0.3964460932196685, -22.801202847834023], [-12.175398006130138, -2.586882015710875, -9.494739689591286]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[529.6928675133203, -203.25369655723392, -347.8582971357159]","[0, 0, 0]","[-1.0389441782706563, 0.1551248481363453, -2.5246556037521675]","[0, 0, 0]"
5,5,baseline_20260822_180915,1787418559,1.0,398000000000000.0,7586103.767588094,0.18875382873374416,0.017453292519943295,319.32670341229664,"[151021.76581491105, 381281.1330814009, 393615.73563626973]",56,563.1899886724938,5.395725162532952e-06,"[[-37.33308138826932, 4.143173319355397, -23.567419758436557], [-1.240732420050688, -13.55162174896597, 1.3210867318362969], [3.746086377907325, -30.155773976474247, -26.98126315449516], [10.752432694100731, 17.779520486709124, -28.020013165418398], [-12.571028828958534, -8.819712447902539, -22.70688422261116], [-11.489286185724152, 8.562593794937047, -9.736180419495332]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[3.4954279552358947, -162.98738695730967, 74.7116967815542]","[0, 0, 0]","[1.2019886579514238, 0.5762149783126433, -1.8542409576539725]","[0, 0, 0]"
6,6,baseline_20260822_180915,1787418560,1.0,398000000000000.0,7177900.897210685,0.18432304343994854,0.017453292519943295,9.46783249142053,"[10732.107831017353, 10908.136483420103, 20464.182875822033]",40,402.93000045095533,4.0891330041993035e-05,"[[-29.895689497810135, 13.883668370738661, 14.83711765616653], [-3.137539198980851, -8.18219189867673, -8.630508239610878], [-21.64815545276822, -19.14077235977433, -35.56868407976919], [20.682704437572788, 43.1707913698702, -12.172676700059194], [14.579607267108859, 15.427038193423165, 14.177984106905875], [18.784530295258968, 18.311965525507702, -39.656030526549706]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[52.58658794025583, 28.24997681168954, 7.309871613039805]","[0, 0, 0]","[-0.839111700762841, -0.6895329585251961, 0.9449795064729581]","[0, 0, 0]"
7,7,baseline_20260822_180915,1787418561,1.0,398000000000000.0,7478324.981768733,0.11630912661676439,0.017453292519943295,55.89993548519455,"[55462.76620535645, 56370.835598920654, 96982.19973790158]",35,356.8988477018862,3.4782424051258294e-05,"[[10.824333954887825, 3.444490137610775, -27.183047996325048], [-4.833171005239699, 17.45107753909473, -37.91938911996228], [26.935127209827016, -12.796492503470986, 20.132971342850546], [-6.655976438278077, 6.988010275813404, -39.226340444644755], [35.522192205019834, 21.714551894153185, -25.591586006087045], [21.68393413022399, -2.011085236482243, 24.383320635066816]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[-93.96953290483292, -289.49774815941777, 224.5759499196233]","[0, 0, 0]","[-0.5678090072082448, -2.090337664700023, 1.0835488564658244]","[0, 0, 0]"
8,8,baseline_20260822_180915,1787418562,1.0,398000000000000.0,8158779.400063837,0.21698263915075847,0.017453292519943295,275.02299409402895,"[278284.801256751, 316430.4494272744, 378371.12591681466]",45,452.39372652394434,6.183742461022031e-05,"[[-35.1539858237517, 12.723702551784962, -17.981320931000706], [-37.0811775619377, -22.097463421161038, -19.06353464694828], [20.423060724904456, 18.37386614917756, 9.777843664026475], [14.601412779524827, 12.960231131619805, -11.610398093343756], [-22.459005611467102, 4.055794244907275, -30.80377242586615], [-23.40527603872584, -12.459089223954653, -0.08600238601614475]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[-187.04910819101218, -271.17906118749437, -411.4780542015148]","[0, 0, 0]","[-0.7495172140974953, -2.7688019254185643, -0.5562188836843429]","[0, 0, 0]"
9,9,baseline_20260822_180915,1787418563,1.0,398000000000000.0,7940047.883002028,0.25893038787683254,0.017453292519943295,111.8508371176238,"[147346.56638213128, 170787.65692218256, 231034.3889675806]",31,311.87447282229334,8.803302072587664e-05,"[[-6.274899260013118, -9.511532925749295, 1.094002168845704], [-21.751522144499422, -23.639286007402543, 2.503854358055712], [45.45095124679412, -19.365787070366522, -3.8511793846356692], [-21.143483781045997, -8.617555984124209, -4.070944812715107], [31.911788361181944, 5.372479447757805, 1.496300609039043], [9.866479214601966, 35.16284316546935, -6.179722352692228]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[161.03147850539366, -305.5146341689838, -96.8091454430564]","[0, 0, 0]","[-1.2677990978627374, 0.3814931012801333, -0.23438452933470882]","[0, 0, 0]"
10,10,baseline_20260822_180915,1787418564,1.0,398000000000000.0,7802417.685190478,0.07068900794197353,0.017453292519943295,164.57523766548866,"[143221.3038356106, 163595.4334575918, 187859.8796784944]",54,542.5740995960425,3.6837005913634836e-05,"[[10.294421353234593, 24.284745315533435, -7.317148286410976], [-5.5961272199509535, 9.919182988922987, -23.981247361767146], [7.2575287226554, 16.640702240252153, -40.79396303619633], [-15.555880133506726, -31.477707418739044, 2.3931680570480793], [14.383131699068347, 19.12406221911184, -33.783755651093735], [0.5377852020730858, 5.442084992893864, 5.176417511603611]]",6,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[0, 0, 0]","[787.7791410725324, -391.2069376516552, -85.0409889884315]","[0, 0, 0]","[-1.4793649836118459, 1.0233677160425676, -1.0223275781154897]","[0, 0, 0]"
